equity
1000000.0
1000113.007485322
1000116.2566993381
1001025.1746784564
1001138.9385609052
1005408.8268959665
1006662.4349919651
1005296.7701701202
1010712.2426958992
1009612.7137472837
1009733.2305743397
1010445.9255308128
1012849.875305721
1017110.316250491
1020931.3987481324
1019897.889625037
1019984.3506293807
1021187.0729340333
1021213.8441112632
1022452.4512392721
1026025.8696840662
1022940.5577617569
1025161.3782551539
1025349.4814189132
1025564.8255730498
1024910.5088462885
1028636.278635079
1029399.1692843273
1029966.7265131733
1032062.0963248113
1035387.5433561119
1038078.4075614652
1040846.7758580514
1043381.726293462
1044918.607942252
1045453.0971805261
1045672.5503670588
1047886.9349677509
1050481.3475159833
1051137.8498281685
1050977.7829317725
1051924.3700926153
1051769.841436512
1051170.849052939
