feature,importance
bid_price_change,0.263673206855393
bid_price_change_920_925,0.15732277409200487
volume_change_rate,0.14968234925218726
bid_volume_change_920_925,0.14271080097559383
bid_volume_change,0.0868036657824107
buy_order_size_925,0.07709834497486319
up_down_ratio,0.06651252350138989
sector_change,0.05619633456615708
bid_volume_ratio,0.0
sector_money_flow,0.0
sector_rank,0.0
bid_intensity,0.0
buy_order_size_ratio,0.0
index_change,0.0
sector_limit_up_count,0.0
market_volume,0.0
profit_effect,0.0
circulating_market_cap,0.0
pe_ratio,0.0
pb_ratio,0.0
market_volume_ratio,0.0
earnings_announcement,0.0
turnover_rate,0.0
price_ma5_ratio,0.0
volatility_5d,0.0
price_ma10_ratio,0.0
macd_diff,0.0
rsi_14,0.0
volume_ratio,0.0
