feature,importance
bid_volume_change_920_925,0.29168605614726306
buy_order_size_925,0.14417520821401877
bid_volume_change,0.13725152315215836
sector_change,0.1140757869206145
bid_price_change,0.08922307544318582
volume_change_rate,0.08194381239042682
up_down_ratio,0.07534637289174498
bid_price_change_920_925,0.06629816484058769
bid_volume_ratio,0.0
sector_money_flow,0.0
sector_rank,0.0
bid_intensity,0.0
buy_order_size_ratio,0.0
index_change,0.0
sector_limit_up_count,0.0
market_volume,0.0
profit_effect,0.0
circulating_market_cap,0.0
pe_ratio,0.0
pb_ratio,0.0
market_volume_ratio,0.0
earnings_announcement,0.0
turnover_rate,0.0
price_ma5_ratio,0.0
volatility_5d,0.0
price_ma10_ratio,0.0
macd_diff,0.0
rsi_14,0.0
volume_ratio,0.0
