feature,importance
volume_change_rate,0.2121433217559897
up_down_ratio,0.18048228734344823
sector_change,0.15581898531779664
bid_volume_change_920_925,0.10666084502141235
buy_order_size_925,0.10475668388196137
bid_price_change_920_925,0.09588859939700876
bid_volume_change,0.07532781762350681
bid_price_change,0.06892145965887622
bid_volume_ratio,0.0
sector_money_flow,0.0
sector_rank,0.0
bid_intensity,0.0
buy_order_size_ratio,0.0
index_change,0.0
sector_limit_up_count,0.0
market_volume,0.0
profit_effect,0.0
circulating_market_cap,0.0
pe_ratio,0.0
pb_ratio,0.0
market_volume_ratio,0.0
earnings_announcement,0.0
turnover_rate,0.0
price_ma5_ratio,0.0
volatility_5d,0.0
price_ma10_ratio,0.0
macd_diff,0.0
rsi_14,0.0
volume_ratio,0.0
