sell_date,trade_count
2025-10-02,7
2025-10-03,1
2025-10-06,4
2025-10-07,5
2025-10-08,2
2025-10-09,8
2025-10-10,2
2025-10-13,5
2025-10-14,10
2025-10-15,3
2025-10-16,3
2025-10-17,6
2025-10-20,9
2025-10-21,12
2025-10-22,6
2025-10-23,5
2025-10-24,6
2025-10-27,5
2025-10-28,6
2025-10-29,5
2025-10-30,3
2025-10-31,8
