sell_date,trade_count
2025-09-02,6
2025-09-03,9
2025-09-04,10
2025-09-05,4
2025-09-08,4
2025-09-09,7
2025-09-10,4
2025-09-11,4
2025-09-12,3
2025-09-15,1
2025-09-16,1
2025-09-17,3
2025-09-19,1
2025-09-22,2
2025-09-25,1
2025-09-26,1
2025-09-29,1
