sell_date,trade_count
2025-10-02,3
2025-10-03,6
2025-10-06,6
2025-10-07,2
2025-10-08,3
2025-10-09,7
2025-10-10,8
2025-10-13,7
2025-10-14,6
2025-10-15,3
2025-10-16,6
2025-10-17,2
2025-10-20,4
2025-10-21,5
2025-10-22,6
2025-10-23,5
2025-10-24,6
2025-10-27,4
2025-10-28,6
2025-10-29,8
2025-10-30,4
2025-10-31,5
