sell_date,trade_count
2025-09-02,7
2025-09-03,6
2025-09-04,4
2025-09-05,5
2025-09-08,4
2025-09-09,2
2025-09-10,3
2025-09-11,1
2025-09-12,3
2025-09-15,1
2025-09-16,3
2025-09-17,3
2025-09-18,3
2025-09-19,1
2025-09-25,1
2025-09-29,1
2025-09-30,2
